artist_name,id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_pop,genres,track_pop,genres_list,subjectivity,polarity
Sabrina Carpenter,03B2SfXuvDh1m9F4tqrX07,Skin,0.557,0.457,7,-5.372,1,0.0335,0.428,0.0,0.0567,0.328,105.918,80,"['dance pop', 'pop', 'post-teen pop']",67,"[""['dance"", ""pop',"", ""'pop',"", ""'post-teen"", ""pop']""]",low,Neutral
Tesher,6FvSS3Goz7OC8oCC2eWqe8,Jalebi Baby (Tesher x Jason Derulo),0.691,0.829,0,-7.179,1,0.0412,0.0289,0.0,0.254,0.866,93.059,60,[],71,['[]'],low,Neutral
Avicii,0ct6r3EGTcMLPtrXHDvVjc,The Nights,0.527,0.835,6,-5.298,1,0.0433,0.0166,0.0,0.249,0.654,125.983,82,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",86,"[""['dance"", ""pop',"", ""'edm',"", ""'pop',"", ""'pop"", ""dance',"", ""'pop"", ""rap']""]",low,Neutral
Jawsh 685,1xQ6trAsedVPCdbtDAmk0c,Savage Love (Laxed - Siren Beat),0.767,0.481,0,-8.52,0,0.0803,0.234,0.0,0.269,0.761,150.076,63,['nz pop'],75,"[""['nz"", ""pop']""]",high,Positive
Dua Lipa,5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,88,"['dance pop', 'pop', 'uk pop']",84,"[""['dance"", ""pop',"", ""'pop',"", ""'uk"", ""pop']""]",low,Neutral
Maroon 5,4cktbXiXOapiLBMprHFErI,Memories,0.775,0.327,11,-7.241,1,0.0557,0.841,0.0,0.0821,0.595,91.05,86,['pop'],83,"[""['pop']""]",low,Neutral
Lil Nas X,67BtfxlNbhBmCDR2L2l8qd,MONTERO (Call Me By Your Name),0.61,0.508,8,-6.682,0,0.152,0.297,0.0,0.384,0.758,178.818,81,"['lgbtq+ hip hop', 'pop']",76,"[""['lgbtq+"", 'hip', ""hop',"", ""'pop']""]",low,Neutral
Internet Money,02kDW379Yfd5PzW5A6vuGt,Lemonade,0.799,0.66,1,-6.153,0,0.079,0.256,0.0,0.111,0.471,140.04,72,"['pop rap', 'rap', 'trap']",74,"[""['pop"", ""rap',"", ""'rap',"", ""'trap']""]",low,Neutral
NEFFEX,61RsA1VPJu0JFVsxMxwW6b,Careless,0.711,0.545,10,-8.401,1,0.11,0.085,0.0,0.095,0.44,74.996,74,[],60,['[]'],high,Negative
Justin Bieber,364dI1bYnvamSnBJ8JcNzN,Intentions,0.811,0.553,9,-6.644,1,0.0552,0.317,0.0,0.105,0.86,148.014,91,"['canadian pop', 'pop']",72,"[""['canadian"", ""pop',"", ""'pop']""]",low,Neutral
Marshmello,12mGwph2YzDIlChtq3EdXP,Alone,0.636,0.953,2,-3.74,1,0.0353,0.0244,0.0164,0.108,0.397,142.011,85,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",16,"[""['brostep',"", ""'dance"", ""pop',"", ""'edm',"", ""'pop',"", ""'pop"", ""dance',"", ""'progressive"", 'electro', ""house']""]",low,Neutral
Charlie Puth,4iLqG9SeJSnt0cSPICSjxv,Attention,0.774,0.626,3,-4.432,0,0.0432,0.0969,3.12e-05,0.0848,0.777,100.041,83,"['dance pop', 'pop', 'viral pop']",0,"[""['dance"", ""pop',"", ""'pop',"", ""'viral"", ""pop']""]",low,Neutral
SHAED,1iQDltZqI7BXnHrFy4Qo1k,Trampoline (with ZAYN),0.619,0.459,7,-5.782,0,0.0334,0.56,0.0,0.137,0.498,126.803,61,"['electropop', 'pop']",69,"[""['electropop',"", ""'pop']""]",low,Neutral
Clean Bandit,5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),0.72,0.763,9,-4.068,0,0.0523,0.406,0.0,0.18,0.742,101.965,75,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap', 'tropical house', 'uk dance', 'uk funky']",75,"[""['dance"", ""pop',"", ""'edm',"", ""'pop',"", ""'pop"", ""dance',"", ""'pop"", ""rap',"", ""'tropical"", ""house',"", ""'uk"", ""dance',"", ""'uk"", ""funky']""]",low,Neutral
24kGoldn,4jPy3l0RUwlUI9T5XHBW2m,Mood (feat. iann dior),0.701,0.716,7,-3.671,0,0.0361,0.174,0.0,0.324,0.732,91.007,73,"['cali rap', 'pop', 'pop rap', 'rap']",82,"[""['cali"", ""rap',"", ""'pop',"", ""'pop"", ""rap',"", ""'rap']""]",low,Neutral
Jason Derulo,59qrUpoplZxbIZxk6X0Bm3,Take You Dancing,0.789,0.711,2,-4.248,1,0.041,0.0332,0.0,0.0876,0.753,112.985,80,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",76,"[""['dance"", ""pop',"", ""'pop',"", ""'pop"", ""rap',"", ""'post-teen"", ""pop']""]",low,Neutral
BTS,4saklk6nie3yiGePpBwUoc,Dynamite,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,91,"['k-pop', 'k-pop boy group']",10,"[""['k-pop',"", ""'k-pop"", 'boy', ""group']""]",low,Neutral
Mark Ronson,32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars),0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,76,"['dance pop', 'pop']",83,"[""['dance"", ""pop',"", ""'pop']""]",low,Neutral
DJ Snake,3dsyqPDiWYYilRZNBxgxHE,Magenta Riddim,0.602,0.892,10,-3.66,0,0.0672,0.000393,0.813,0.304,0.57,102.047,78,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']",63,"[""['dance"", ""pop',"", ""'edm',"", ""'electronic"", ""trap',"", ""'pop',"", ""'pop"", ""dance',"", ""'pop"", ""rap']""]",low,Neutral
Lauv,09PGubKAMryhOWv1LHpCYz,"fuck, i'm lonely",0.809,0.547,9,-7.304,1,0.0609,0.46,0.0,0.0543,0.717,95.012,78,"['dance pop', 'pop']",20,"[""['dance"", ""pop',"", ""'pop']""]",high,Negative
Imagine Dragons,1zB4vmk8tFRmM9UULNzbLB,Thunder,0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,89,"['modern rock', 'rock']",86,"[""['modern"", ""rock',"", ""'rock']""]",low,Neutral
J Balvin,4ipnJyDU3Lq15qBAYNqlqK,Mi Gente,0.774,0.687,11,-4.818,0,0.0584,0.0179,1.17e-05,0.128,0.308,104.959,88,"['reggaeton', 'reggaeton colombiano', 'urbano latino']",69,"[""['reggaeton',"", ""'reggaeton"", ""colombiano',"", ""'urbano"", ""latino']""]",low,Neutral
Harry Styles,6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,90,['pop'],89,"[""['pop']""]",low,Neutral
Camila Cabello,3yOlyBJuViE2YSGn3nVE1K,My Oh My (feat. DaBaby),0.724,0.491,8,-6.024,1,0.0296,0.018,1.29e-05,0.0887,0.383,105.046,82,"['dance pop', 'pop', 'post-teen pop']",75,"[""['dance"", ""pop',"", ""'pop',"", ""'post-teen"", ""pop']""]",low,Neutral
Justin Bieber,16wAOAZ2OkqoIDN7TpChjR,Yummy,0.676,0.506,9,-6.652,0,0.0958,0.345,0.0,0.118,0.497,145.842,91,"['canadian pop', 'pop']",69,"[""['canadian"", ""pop',"", ""'pop']""]",low,Neutral
Deep Chills,1oIdcFtf58sZbS7QyZQJ2P,Run Free,0.727,0.69,7,-4.559,1,0.0345,0.202,3.27e-06,0.414,0.699,100.002,61,"['deep tropical house', 'new french touch', 'pop dance', 'pop edm', 'tropical house']",65,"[""['deep"", 'tropical', ""house',"", ""'new"", 'french', ""touch',"", ""'pop"", ""dance',"", ""'pop"", ""edm',"", ""'tropical"", ""house']""]",high,Positive
HRVY,3wuR0YSNdT9rgWfFi1lctv,Million Ways,0.645,0.803,6,-4.819,1,0.034,0.0312,0.0,0.13,0.471,106.03,66,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'social media pop', 'tropical house']",60,"[""['dance"", ""pop',"", ""'pop',"", ""'pop"", ""dance',"", ""'post-teen"", ""pop',"", ""'social"", 'media', ""pop',"", ""'tropical"", ""house']""]",low,Neutral
Jonas Brothers,22vgEDb5hykfaTwLuskFGD,Sucker,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,77,"['boy band', 'dance pop', 'pop', 'post-teen pop']",81,"[""['boy"", ""band',"", ""'dance"", ""pop',"", ""'pop',"", ""'post-teen"", ""pop']""]",high,Negative
Tones And I,1rgnBhdG2JDFTbYkYRZAku,Dance Monkey,0.826,0.593,6,-6.401,0,0.0976,0.688,0.000161,0.17,0.541,98.083,72,"['australian pop', 'dance pop', 'pop']",63,"[""['australian"", ""pop',"", ""'dance"", ""pop',"", ""'pop']""]",low,Negative
Marshmello,5icOoE6VgqFKohjWWNp0Ac,Here With Me,0.791,0.565,5,-3.933,0,0.0439,0.0623,0.0,0.156,0.181,99.961,85,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",75,"[""['brostep',"", ""'dance"", ""pop',"", ""'edm',"", ""'pop',"", ""'pop"", ""dance',"", ""'progressive"", 'electro', ""house']""]",low,Neutral
Ed Sheeran,4evmHXcjt3bTUHD1cvny97,Beautiful People (feat. Khalid),0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.548,92.977,92,"['pop', 'uk pop']",74,"[""['pop',"", ""'uk"", ""pop']""]",high,Positive
Alan Walker,2DGa7iaidT5s0qnINlwMjJ,The Spectre,0.654,0.711,1,-7.437,0,0.0383,0.0214,0.00191,0.0903,0.198,127.957,81,['electro house'],72,"[""['electro"", ""house']""]",low,Neutral
