artist_name,track_uri,track_url,artist_uri,artist_url,track_name,album_uri,duration_ms_x,album_name,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms_y,time_signature,artist_pop,genres,track_pop,language,embed_code
K. S. Chithra,spotify:track:1ocfot7YeWLe27CguJNjNe,https://open.spotify.com/track/1ocfot7YeWLe27CguJNjNe,spotify:artist:2IUtwMti1OiT3lkW6RubgH,https://open.spotify.com/artist/2IUtwMti1OiT3lkW6RubgH,Aha Allari,spotify:album:5ev13ZzeawtRQ50JFPv4ik,254876.0,Khadgam (Original Motion Picture Soundtrack),Aha Allari,0.734,0.718,5.0,-8.537,0.0,0.097,0.212,4.85e-05,0.0629,0.964,80.959,audio_features,1ocfot7YeWLe27CguJNjNe,spotify:track:1ocfot7YeWLe27CguJNjNe,https://api.spotify.com/v1/tracks/1ocfot7YeWLe27CguJNjNe,https://api.spotify.com/v1/audio-analysis/1ocfot7YeWLe27CguJNjNe,254877.0,4.0,75.0,['filmi'],998644.0,telugu,https://open.spotify.com/embed/track/1ocfot7YeWLe27CguJNjNe?utm_source=generator
Sid Sriram,spotify:track:1eIHweuCbIL85pTyWLeOkb,https://open.spotify.com/track/1eIHweuCbIL85pTyWLeOkb,spotify:artist:7qjJw7ZM2ekDSahLXPjIlN,https://open.spotify.com/artist/7qjJw7ZM2ekDSahLXPjIlN,Emo Emo Emo,spotify:album:57sVqNzB8VLWS4n4S8BOrF,266000.0,Devadas (Original Motion Picture Soundtrack),Emo Emo Emo,0.181,0.405,2.0,-6.288,1.0,0.0289,0.846,0.0,0.0623,0.262,178.701,audio_features,1eIHweuCbIL85pTyWLeOkb,spotify:track:1eIHweuCbIL85pTyWLeOkb,https://api.spotify.com/v1/tracks/1eIHweuCbIL85pTyWLeOkb,https://api.spotify.com/v1/audio-analysis/1eIHweuCbIL85pTyWLeOkb,266000.0,3.0,78.0,['filmi'],997544.0,telugu,https://open.spotify.com/embed/track/1eIHweuCbIL85pTyWLeOkb?utm_source=generator
Sindhuri,spotify:track:1HYk6NM5qHuKSx1t3rwBNb,https://open.spotify.com/track/1HYk6NM5qHuKSx1t3rwBNb,spotify:artist:42hb3CC6jTpF3vve0FkquG,https://open.spotify.com/artist/42hb3CC6jTpF3vve0FkquG,Oo Chandruda,spotify:album:4Tszv3WiZWvklZ3oyzZZe6,274482.0,Hey Pillagada (Original Motion Picture Soundtrack),Oo Chandruda,0.499,0.462,7.0,-8.309,1.0,0.041,0.741,1.89e-05,0.119,0.339,173.712,audio_features,1HYk6NM5qHuKSx1t3rwBNb,spotify:track:1HYk6NM5qHuKSx1t3rwBNb,https://api.spotify.com/v1/tracks/1HYk6NM5qHuKSx1t3rwBNb,https://api.spotify.com/v1/audio-analysis/1HYk6NM5qHuKSx1t3rwBNb,274483.0,4.0,7.0,['tollywood'],996795.0,telugu,https://open.spotify.com/embed/track/1HYk6NM5qHuKSx1t3rwBNb?utm_source=generator
Mohana Bhogaraju,spotify:track:68rSALJuiiiJSOgL7DXdNg,https://open.spotify.com/track/68rSALJuiiiJSOgL7DXdNg,spotify:artist:2nWYQRy7Ikh7CyWnvZZouD,https://open.spotify.com/artist/2nWYQRy7Ikh7CyWnvZZouD,Manohari,spotify:album:62FLwY6ofjIoyfTB4aY8Qo,214517.0,Baahubali - The Beginning,Manohari,0.624,0.799,4.0,-6.84,0.0,0.0616,0.123,5.82e-06,0.105,0.799,160.032,audio_features,68rSALJuiiiJSOgL7DXdNg,spotify:track:68rSALJuiiiJSOgL7DXdNg,https://api.spotify.com/v1/tracks/68rSALJuiiiJSOgL7DXdNg,https://api.spotify.com/v1/audio-analysis/68rSALJuiiiJSOgL7DXdNg,214517.0,4.0,53.0,"['telugu indie', 'tollywood']",99643.0,telugu,https://open.spotify.com/embed/track/68rSALJuiiiJSOgL7DXdNg?utm_source=generator
Sid Sriram,spotify:track:2hFqK9r8rA8qMXrznzu8uz,https://open.spotify.com/track/2hFqK9r8rA8qMXrznzu8uz,spotify:artist:7qjJw7ZM2ekDSahLXPjIlN,https://open.spotify.com/artist/7qjJw7ZM2ekDSahLXPjIlN,Ee Maya Peremito,spotify:album:51fYbKug95K84AyQHA50P5,256335.0,Orey Bujjiga (Original Motion Picture Soundtrack),Ee Maya Peremito,0.473,0.518,0.0,-7.279,0.0,0.137,0.686,0.0,0.103,0.402,119.995,audio_features,2hFqK9r8rA8qMXrznzu8uz,spotify:track:2hFqK9r8rA8qMXrznzu8uz,https://api.spotify.com/v1/tracks/2hFqK9r8rA8qMXrznzu8uz,https://api.spotify.com/v1/audio-analysis/2hFqK9r8rA8qMXrznzu8uz,256335.0,4.0,78.0,['filmi'],98795.0,telugu,https://open.spotify.com/embed/track/2hFqK9r8rA8qMXrznzu8uz?utm_source=generator
Sid Sriram,spotify:track:14M1StehpwsydSGGy8z9eq,https://open.spotify.com/track/14M1StehpwsydSGGy8z9eq,spotify:artist:7qjJw7ZM2ekDSahLXPjIlN,https://open.spotify.com/artist/7qjJw7ZM2ekDSahLXPjIlN,Emai Poyave,spotify:album:5yaWNdlJB8FoxwbngILePz,154691.0,Padi Padi Leche Manasu,Emai Poyave,0.4,0.346,11.0,-7.717,1.0,0.0311,0.849,0.0,0.258,0.248,149.757,audio_features,14M1StehpwsydSGGy8z9eq,spotify:track:14M1StehpwsydSGGy8z9eq,https://api.spotify.com/v1/tracks/14M1StehpwsydSGGy8z9eq,https://api.spotify.com/v1/audio-analysis/14M1StehpwsydSGGy8z9eq,154691.0,3.0,78.0,['filmi'],9876845.0,telugu,https://open.spotify.com/embed/track/14M1StehpwsydSGGy8z9eq?utm_source=generator
Aalaap Raju,spotify:track:4G4Mqe5vRu81zEawCupKPk,https://open.spotify.com/track/4G4Mqe5vRu81zEawCupKPk,spotify:artist:6qcMtXmofIpnR9TBhgamMR,https://open.spotify.com/artist/6qcMtXmofIpnR9TBhgamMR,Endhuko Emo,spotify:album:0COftafy212lNgshLsvLcf,330505.0,Rangam (Original Motion Picture Soundtrack),Endhuko Emo,0.827,0.629,7.0,-5.135,0.0,0.0357,0.0577,0.000192,0.178,0.703,91.006,audio_features,4G4Mqe5vRu81zEawCupKPk,spotify:track:4G4Mqe5vRu81zEawCupKPk,https://api.spotify.com/v1/tracks/4G4Mqe5vRu81zEawCupKPk,https://api.spotify.com/v1/audio-analysis/4G4Mqe5vRu81zEawCupKPk,330505.0,4.0,56.0,['tamil pop'],987643.0,telugu,https://open.spotify.com/embed/track/4G4Mqe5vRu81zEawCupKPk?utm_source=generator
L. V. Revanth,spotify:track:6GbObXudr6oFWk8FdHHLeh,https://open.spotify.com/track/6GbObXudr6oFWk8FdHHLeh,spotify:artist:2OrTfOi3k8VMFLuvC527bB,https://open.spotify.com/artist/2OrTfOi3k8VMFLuvC527bB,Saana Kastam,spotify:album:5UlyI2OfFD3HPWgsui3YL3,244188.0,Acharya,Saana Kastam,0.579,0.67,8.0,-9.583,1.0,0.173,0.158,0.00445,0.598,0.564,137.908,audio_features,6GbObXudr6oFWk8FdHHLeh,spotify:track:6GbObXudr6oFWk8FdHHLeh,https://api.spotify.com/v1/tracks/6GbObXudr6oFWk8FdHHLeh,https://api.spotify.com/v1/audio-analysis/6GbObXudr6oFWk8FdHHLeh,244188.0,4.0,54.0,"['filmi', 'tollywood']",987078.0,telugu,https://open.spotify.com/embed/track/6GbObXudr6oFWk8FdHHLeh?utm_source=generator
Shankar Mahadevan,spotify:track:75PLRXczgeUtwD9mFzDVsB,https://open.spotify.com/track/75PLRXczgeUtwD9mFzDVsB,spotify:artist:1SJOL9HJ08YOn92lFcYf8a,https://open.spotify.com/artist/1SJOL9HJ08YOn92lFcYf8a,Pranaamam,spotify:album:4WSLvIQ3Q6vhYQIxXi7mn8,240408.0,Janatha Garage,Pranaamam,0.721,0.925,5.0,-3.908,0.0,0.0503,0.122,0.000159,0.115,0.757,122.002,audio_features,75PLRXczgeUtwD9mFzDVsB,spotify:track:75PLRXczgeUtwD9mFzDVsB,https://api.spotify.com/v1/tracks/75PLRXczgeUtwD9mFzDVsB,https://api.spotify.com/v1/audio-analysis/75PLRXczgeUtwD9mFzDVsB,240409.0,4.0,75.0,"['filmi', 'modern bollywood']",98667.0,telugu,https://open.spotify.com/embed/track/75PLRXczgeUtwD9mFzDVsB?utm_source=generator
Sagar,spotify:track:55NigCtAxTdmtHNcaVfyUo,https://open.spotify.com/track/55NigCtAxTdmtHNcaVfyUo,spotify:artist:6CWBs7ul78QwnBrcOCwhf5,https://open.spotify.com/artist/6CWBs7ul78QwnBrcOCwhf5,Neeti Mullai - Bit Song,spotify:album:3aORS9GEmg02j3cPNAgVdS,81990.0,Varsham (Original Motion Picture Soundtrack),Neeti Mullai - Bit Song,0.683,0.261,7.0,-12.998,0.0,0.0336,0.827,0.0,0.137,0.671,105.049,audio_features,55NigCtAxTdmtHNcaVfyUo,spotify:track:55NigCtAxTdmtHNcaVfyUo,https://api.spotify.com/v1/tracks/55NigCtAxTdmtHNcaVfyUo,https://api.spotify.com/v1/audio-analysis/55NigCtAxTdmtHNcaVfyUo,81991.0,4.0,56.0,"['filmi', 'tamil pop', 'tollywood']",98656786.0,telugu,https://open.spotify.com/embed/track/55NigCtAxTdmtHNcaVfyUo?utm_source=generator
