artist_name,track_uri,track_url,artist_uri,artist_url,track_name,album_uri,duration_ms_x,album_name,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms_y,time_signature,artist_pop,genres,track_pop,language
Sabrina Carpenter,spotify:track:03B2SfXuvDh1m9F4tqrX07,https://open.spotify.com/track/03B2SfXuvDh1m9F4tqrX07,spotify:artist:74KM79TiuVKeVCqs8QtB0B,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B,Skin,spotify:album:6JISV6SiJtQnIsNC6OVpUf,177500.0,Skin,Skin,0.557,0.457,7.0,-5.372,1.0,0.0335,0.428,0.0,0.0567,0.328,105.918,audio_features,03B2SfXuvDh1m9F4tqrX07,spotify:track:03B2SfXuvDh1m9F4tqrX07,https://api.spotify.com/v1/tracks/03B2SfXuvDh1m9F4tqrX07,https://api.spotify.com/v1/audio-analysis/03B2SfXuvDh1m9F4tqrX07,177500.0,4.0,80.0,"['dance pop', 'pop', 'post-teen pop']",1312432244,english
Tesher,spotify:track:6FvSS3Goz7OC8oCC2eWqe8,https://open.spotify.com/track/6FvSS3Goz7OC8oCC2eWqe8,spotify:artist:49YbNTLaaAbZHLtDI2aPGL,https://open.spotify.com/artist/49YbNTLaaAbZHLtDI2aPGL,Jalebi Baby (Tesher x Jason Derulo),spotify:album:7JXaassDX0q7XtdJLepSGd,169154.0,Jalebi Baby (Tesher x Jason Derulo),Jalebi Baby (Tesher x Jason Derulo),0.691,0.829,0.0,-7.179,1.0,0.0412,0.0289,0.0,0.254,0.866,93.059,audio_features,6FvSS3Goz7OC8oCC2eWqe8,spotify:track:6FvSS3Goz7OC8oCC2eWqe8,https://api.spotify.com/v1/tracks/6FvSS3Goz7OC8oCC2eWqe8,https://api.spotify.com/v1/audio-analysis/6FvSS3Goz7OC8oCC2eWqe8,169154.0,4.0,60.0,[],1598999123,english
Avicii,spotify:track:0ct6r3EGTcMLPtrXHDvVjc,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6,The Nights,spotify:album:0h2knr6qpiAq0tV5ri5JMF,176658.0,The Days / Nights,The Nights,0.527,0.835,6.0,-5.298,1.0,0.0433,0.0166,0.0,0.249,0.654,125.983,audio_features,0ct6r3EGTcMLPtrXHDvVjc,spotify:track:0ct6r3EGTcMLPtrXHDvVjc,https://api.spotify.com/v1/tracks/0ct6r3EGTcMLPtrXHDvVjc,https://api.spotify.com/v1/audio-analysis/0ct6r3EGTcMLPtrXHDvVjc,176658.0,4.0,82.0,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']","1,345,056,904",english
Jawsh 685,spotify:track:1xQ6trAsedVPCdbtDAmk0c,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,spotify:artist:56mfhUDKa1vec6rSLZV5Eg,https://open.spotify.com/artist/56mfhUDKa1vec6rSLZV5Eg,Savage Love (Laxed - Siren Beat),spotify:album:1XMw3pBrYeXzNXZXc84DNw,171374.0,Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),0.767,0.481,0.0,-8.52,0.0,0.0803,0.234,0.0,0.269,0.761,150.076,audio_features,1xQ6trAsedVPCdbtDAmk0c,spotify:track:1xQ6trAsedVPCdbtDAmk0c,https://api.spotify.com/v1/tracks/1xQ6trAsedVPCdbtDAmk0c,https://api.spotify.com/v1/audio-analysis/1xQ6trAsedVPCdbtDAmk0c,171375.0,4.0,63.0,['nz pop'],1025147275,english
Dua Lipa,spotify:track:5nujrmhLynf4yMoMtj8AQF,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF,spotify:artist:6M2wZ9GZgrQXHCFfjv46we,https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we,Levitating (feat. DaBaby),spotify:album:5lKlFlReHOLShQKyRv6AL9,203064.0,Future Nostalgia,Levitating (feat. DaBaby),0.702,0.825,6.0,-3.787,0.0,0.0601,0.00883,0.0,0.0674,0.915,102.977,audio_features,5nujrmhLynf4yMoMtj8AQF,spotify:track:5nujrmhLynf4yMoMtj8AQF,https://api.spotify.com/v1/tracks/5nujrmhLynf4yMoMtj8AQF,https://api.spotify.com/v1/audio-analysis/5nujrmhLynf4yMoMtj8AQF,203064.0,4.0,88.0,"['dance pop', 'pop', 'uk pop']",107932087,english
Maroon 5,spotify:track:4cktbXiXOapiLBMprHFErI,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI,spotify:artist:04gDigrS5kc9YWfZHwBETP,https://open.spotify.com/artist/04gDigrS5kc9YWfZHwBETP,Memories,spotify:album:1pCA38N6MkLlthXtAOvZTU,189486.0,JORDI (Deluxe),Memories,0.775,0.327,11.0,-7.241,1.0,0.0557,0.841,0.0,0.0821,0.595,91.05,audio_features,4cktbXiXOapiLBMprHFErI,spotify:track:4cktbXiXOapiLBMprHFErI,https://api.spotify.com/v1/tracks/4cktbXiXOapiLBMprHFErI,https://api.spotify.com/v1/audio-analysis/4cktbXiXOapiLBMprHFErI,189486.0,4.0,86.0,['pop'],1233424333,english
Lil Nas X,spotify:track:67BtfxlNbhBmCDR2L2l8qd,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd,spotify:artist:7jVv8c5Fj3E9VhNjxT4snq,https://open.spotify.com/artist/7jVv8c5Fj3E9VhNjxT4snq,MONTERO (Call Me By Your Name),spotify:album:2Hjcfw8zHN4dJDZJGOzLd6,137875.0,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),0.61,0.508,8.0,-6.682,0.0,0.152,0.297,0.0,0.384,0.758,178.818,audio_features,67BtfxlNbhBmCDR2L2l8qd,spotify:track:67BtfxlNbhBmCDR2L2l8qd,https://api.spotify.com/v1/tracks/67BtfxlNbhBmCDR2L2l8qd,https://api.spotify.com/v1/audio-analysis/67BtfxlNbhBmCDR2L2l8qd,137876.0,4.0,81.0,"['lgbtq+ hip hop', 'pop']",1670889343,english
Internet Money,spotify:track:02kDW379Yfd5PzW5A6vuGt,https://open.spotify.com/track/02kDW379Yfd5PzW5A6vuGt,spotify:artist:6MPCFvOQv5cIGfw3jODMF0,https://open.spotify.com/artist/6MPCFvOQv5cIGfw3jODMF0,Lemonade,spotify:album:1pFaEu56zqpzSviJc3htZN,195428.0,"Lemonade (feat. Gunna, Don Toliver & NAV)",Lemonade,0.799,0.66,1.0,-6.153,0.0,0.079,0.256,0.0,0.111,0.471,140.04,audio_features,02kDW379Yfd5PzW5A6vuGt,spotify:track:02kDW379Yfd5PzW5A6vuGt,https://api.spotify.com/v1/tracks/02kDW379Yfd5PzW5A6vuGt,https://api.spotify.com/v1/audio-analysis/02kDW379Yfd5PzW5A6vuGt,195429.0,4.0,72.0,"['pop rap', 'rap', 'trap']",1172243234,english
NEFFEX,spotify:track:61RsA1VPJu0JFVsxMxwW6b,https://open.spotify.com/track/61RsA1VPJu0JFVsxMxwW6b,spotify:artist:3z97WMRi731dCvKklIf2X6,https://open.spotify.com/artist/3z97WMRi731dCvKklIf2X6,Careless,spotify:album:07vI2kcQFYMSEJYdbkdbNj,296800.0,Careless,Careless,0.711,0.545,10.0,-8.401,1.0,0.11,0.085,0.0,0.095,0.44,74.996,audio_features,61RsA1VPJu0JFVsxMxwW6b,spotify:track:61RsA1VPJu0JFVsxMxwW6b,https://api.spotify.com/v1/tracks/61RsA1VPJu0JFVsxMxwW6b,https://api.spotify.com/v1/audio-analysis/61RsA1VPJu0JFVsxMxwW6b,296800.0,4.0,74.0,[],1723492341,english
Justin Bieber,spotify:track:364dI1bYnvamSnBJ8JcNzN,https://open.spotify.com/track/364dI1bYnvamSnBJ8JcNzN,spotify:artist:1uNFoZAHBGtllmzznpCI3s,https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s,Intentions,spotify:album:55zg331p7m1EFA4uRggkwt,212868.0,Intentions,Intentions,0.811,0.553,9.0,-6.644,1.0,0.0552,0.317,0.0,0.105,0.86,148.014,audio_features,364dI1bYnvamSnBJ8JcNzN,spotify:track:364dI1bYnvamSnBJ8JcNzN,https://api.spotify.com/v1/tracks/364dI1bYnvamSnBJ8JcNzN,https://api.spotify.com/v1/audio-analysis/364dI1bYnvamSnBJ8JcNzN,212869.0,4.0,91.0,"['canadian pop', 'pop']",189234278,english
