,artist_name,track_uri,track_url,artist_uri,artist_url,track_name,album_uri,duration_ms_x,album_name,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms_y,time_signature,artist_pop,genres,track_pop,language,embed_code,artists_song,genres_list,subjectivity,polarity,sim
83,Justin Bieber,spotify:track:4iJyoBOLtHqaGxP12qzhQI,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI,spotify:artist:1uNFoZAHBGtllmzznpCI3s,https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s,Peaches (feat. Daniel Caesar & Giveon),spotify:album:5dGWwsZ9iB2Xc3UKR0gif2,198081,Justice,Peaches (feat. Daniel Caesar & Giveon),0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,audio_features,4iJyoBOLtHqaGxP12qzhQI,spotify:track:4iJyoBOLtHqaGxP12qzhQI,https://api.spotify.com/v1/tracks/4iJyoBOLtHqaGxP12qzhQI,https://api.spotify.com/v1/audio-analysis/4iJyoBOLtHqaGxP12qzhQI,198082,4,91,"['canadian pop', 'pop']",84,english,https://open.spotify.com/embed/track/4iJyoBOLtHqaGxP12qzhQI?utm_source=generator,Justin BieberPeaches (feat. Daniel Caesar & Giveon),"[""['canadian"", ""pop',"", ""'pop']""]",low,Neutral,0.7062221519027592
9,Justin Bieber,spotify:track:364dI1bYnvamSnBJ8JcNzN,https://open.spotify.com/track/364dI1bYnvamSnBJ8JcNzN,spotify:artist:1uNFoZAHBGtllmzznpCI3s,https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s,Intentions,spotify:album:55zg331p7m1EFA4uRggkwt,212868,Intentions,Intentions,0.811,0.553,9,-6.644,1,0.0552,0.317,0.0,0.105,0.86,148.014,audio_features,364dI1bYnvamSnBJ8JcNzN,spotify:track:364dI1bYnvamSnBJ8JcNzN,https://api.spotify.com/v1/tracks/364dI1bYnvamSnBJ8JcNzN,https://api.spotify.com/v1/audio-analysis/364dI1bYnvamSnBJ8JcNzN,212869,4,91,"['canadian pop', 'pop']",72,english,https://open.spotify.com/embed/track/364dI1bYnvamSnBJ8JcNzN?utm_source=generator,Justin BieberIntentions,"[""['canadian"", ""pop',"", ""'pop']""]",low,Neutral,0.7061810741928196
61,Deep Chills,spotify:track:5fJX0XsZwvAtiE5M6tUF1y,https://open.spotify.com/track/5fJX0XsZwvAtiE5M6tUF1y,spotify:artist:12rBrcOPP50qIan8ew4iTP,https://open.spotify.com/artist/12rBrcOPP50qIan8ew4iTP,Stay Yours,spotify:album:3sq82Kf5NOoIqFyL4eyYMi,128397,Stay Yours,Stay Yours,0.551,0.482,1,-6.404,1,0.242,0.652,0.0,0.18,0.628,200.116,audio_features,5fJX0XsZwvAtiE5M6tUF1y,spotify:track:5fJX0XsZwvAtiE5M6tUF1y,https://api.spotify.com/v1/tracks/5fJX0XsZwvAtiE5M6tUF1y,https://api.spotify.com/v1/audio-analysis/5fJX0XsZwvAtiE5M6tUF1y,128399,4,61,"['deep tropical house', 'new french touch', 'pop dance', 'pop edm', 'tropical house']",56,english,https://open.spotify.com/embed/track/5fJX0XsZwvAtiE5M6tUF1y?utm_source=generator,Deep ChillsStay Yours,"[""['deep"", 'tropical', ""house',"", ""'new"", 'french', ""touch',"", ""'pop"", ""dance',"", ""'pop"", ""edm',"", ""'tropical"", ""house']""]",low,Neutral,0.697358185434888
378,Taylor Swift,spotify:track:1D4PL9B8gOg78jiHg3FvBb,https://open.spotify.com/track/1D4PL9B8gOg78jiHg3FvBb,spotify:artist:06HL4z0CvFAxyc27GXpf02,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,Love Story,spotify:album:3EzFY9Rg0PpbADMth746zi,236266,Fearless (Big Machine Radio Release Special),Love Story,0.617,0.741,2,-3.97,1,0.0311,0.131,0.0,0.0772,0.306,118.984,audio_features,1D4PL9B8gOg78jiHg3FvBb,spotify:track:1D4PL9B8gOg78jiHg3FvBb,https://api.spotify.com/v1/tracks/1D4PL9B8gOg78jiHg3FvBb,https://api.spotify.com/v1/audio-analysis/1D4PL9B8gOg78jiHg3FvBb,236267,4,100,['pop'],77,english,https://open.spotify.com/embed/track/1D4PL9B8gOg78jiHg3FvBb?utm_source=generator,Taylor SwiftLove Story,"[""['pop']""]",high,Positive,0.651512742527723
101,NAYEON,spotify:track:3lOMJTQTd6J34faYwASc33,https://open.spotify.com/track/3lOMJTQTd6J34faYwASc33,spotify:artist:1VwDG9aBflQupaFNjUru9A,https://open.spotify.com/artist/1VwDG9aBflQupaFNjUru9A,POP!,spotify:album:0wqjfojWuTcbEvwaizvTMw,168106,IM NAYEON,POP!,0.795,0.859,2,-2.994,1,0.0542,0.0361,0.0,0.0321,0.356,96.986,audio_features,3lOMJTQTd6J34faYwASc33,spotify:track:3lOMJTQTd6J34faYwASc33,https://api.spotify.com/v1/tracks/3lOMJTQTd6J34faYwASc33,https://api.spotify.com/v1/audio-analysis/3lOMJTQTd6J34faYwASc33,168107,4,65,['k-pop'],78,korean,https://open.spotify.com/embed/track/3lOMJTQTd6J34faYwASc33?utm_source=generator,NAYEONPOP!,"[""['k-pop']""]",low,Neutral,0.6500051673610354
34,The Weeknd,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,Blinding Lights,spotify:album:4yP0hdKOZPNshxUOjY0cZj,200040,After Hours,Blinding Lights,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,audio_features,0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040,4,98,"['canadian contemporary r&b', 'canadian pop', 'pop']",91,english,https://open.spotify.com/embed/track/0VjIjW4GlUZAMYd2vXMi3b?utm_source=generator,The WeekndBlinding Lights,"[""['canadian"", 'contemporary', ""r&b',"", ""'canadian"", ""pop',"", ""'pop']""]",low,Neutral,0.6461217129699709
385,Alessia Cara,spotify:track:42ydLwx4i5V49RXHOozJZq,https://open.spotify.com/track/42ydLwx4i5V49RXHOozJZq,spotify:artist:2wUjUUtkb5lvLKcGKsKqsR,https://open.spotify.com/artist/2wUjUUtkb5lvLKcGKsKqsR,Scars To Your Beautiful,spotify:album:2AGNF8r2y8HL85yVk2bwmS,230226,Know-It-All (Deluxe),Scars To Your Beautiful,0.319,0.739,0,-5.74,1,0.272,0.0285,0.0,0.111,0.449,194.169,audio_features,42ydLwx4i5V49RXHOozJZq,spotify:track:42ydLwx4i5V49RXHOozJZq,https://api.spotify.com/v1/tracks/42ydLwx4i5V49RXHOozJZq,https://api.spotify.com/v1/audio-analysis/42ydLwx4i5V49RXHOozJZq,230227,4,75,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'pop', 'post-teen pop']",74,english,https://open.spotify.com/embed/track/42ydLwx4i5V49RXHOozJZq?utm_source=generator,Alessia CaraScars To Your Beautiful,"[""['canadian"", 'contemporary', ""r&b',"", ""'canadian"", ""pop',"", ""'dance"", ""pop',"", ""'pop',"", ""'post-teen"", ""pop']""]",high,Positive,0.6359144686363253
435,zzoilo,spotify:track:5TMLavqGRKNxgzMBrVpC9R,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R,spotify:artist:7c53ZFyajVMTo08HmvoB6b,https://open.spotify.com/artist/7c53ZFyajVMTo08HmvoB6b,Mon Amour - Remix,spotify:album:4TWsxSw8df17aja6JSaar5,179940,Mon Amour (Remix),Mon Amour - Remix,0.748,0.761,2,-6.621,1,0.102,0.122,6.56e-06,0.0984,0.362,116.041,audio_features,5TMLavqGRKNxgzMBrVpC9R,spotify:track:5TMLavqGRKNxgzMBrVpC9R,https://api.spotify.com/v1/tracks/5TMLavqGRKNxgzMBrVpC9R,https://api.spotify.com/v1/audio-analysis/5TMLavqGRKNxgzMBrVpC9R,179940,4,65,[],81,english,https://open.spotify.com/embed/track/5TMLavqGRKNxgzMBrVpC9R?utm_source=generator,zzoiloMon Amour - Remix,['[]'],low,Neutral,0.6202161396547692
755,Harshavardhan Rameshwar,spotify:track:60HhoW4AZ41OMP6SJMcjfV,https://open.spotify.com/track/60HhoW4AZ41OMP6SJMcjfV,spotify:artist:5CTu6FKerxlvZrsLb6BYaU,https://open.spotify.com/artist/5CTu6FKerxlvZrsLb6BYaU,Ravanasura Anthem,spotify:album:5ag1TkyOgbML1TzJDWsZC5,246857,"Ravanasura Anthem (From ""Ravanasura"")",Ravanasura Anthem,0.612,0.905,7,-2.046,1,0.131,0.00822,0.0178,0.154,0.407,139.929,audio_features,60HhoW4AZ41OMP6SJMcjfV,spotify:track:60HhoW4AZ41OMP6SJMcjfV,https://api.spotify.com/v1/tracks/60HhoW4AZ41OMP6SJMcjfV,https://api.spotify.com/v1/audio-analysis/60HhoW4AZ41OMP6SJMcjfV,246857,4,50,[],60,telugu,https://open.spotify.com/embed/track/60HhoW4AZ41OMP6SJMcjfV?utm_source=generator,Harshavardhan RameshwarRavanasura Anthem,['[]'],low,Neutral,0.6183368719333132
509,Eduardo Luzquiños,spotify:track:7N3AWpme64LhM1P8I6yIZx,https://open.spotify.com/track/7N3AWpme64LhM1P8I6yIZx,spotify:artist:1dXyyDButMVteLKOOVqz6Z,https://open.spotify.com/artist/1dXyyDButMVteLKOOVqz6Z,I Like It Slowed - Remix,spotify:album:3fGJkclsf74VjMEt9XJ800,296842,I Like It Slowed (Remix),I Like It Slowed - Remix,0.78,0.658,2,-6.623,1,0.105,0.12,0.0,0.339,0.536,115.439,audio_features,7N3AWpme64LhM1P8I6yIZx,spotify:track:7N3AWpme64LhM1P8I6yIZx,https://api.spotify.com/v1/tracks/7N3AWpme64LhM1P8I6yIZx,https://api.spotify.com/v1/audio-analysis/7N3AWpme64LhM1P8I6yIZx,296843,4,55,[],39,english,https://open.spotify.com/embed/track/7N3AWpme64LhM1P8I6yIZx?utm_source=generator,Eduardo LuzquiñosI Like It Slowed - Remix,['[]'],low,Neutral,0.6169411961319113
